"","it","alpha","N","E","D","C","L","w","SWI"
"1549",142,1.45,382,3779,0.0519300270712234,0.107690702285297,2.36021217243133,0.4641119708816,0.0109891069080063
"1550",143,1.45,384,3716,0.0505330722367276,0.111089641846663,2.38095626631854,0.468964537118365,0.0138511118233022
"1551",144,1.45,386,4050,0.0545050804118162,0.106117885710334,2.31872686898594,0.462931038672085,0.00440230548860001
"1552",145,1.45,388,3950,0.0526119502384187,0.111055728457499,2.35075521457684,0.471080485731454,0.00766786948217814
"1553",146,1.45,390,3890,0.0512820512820513,0.107349360925137,2.36154505306176,0.465810932650655,0.00973803772395118
"1554",147,1.45,392,4012,0.0523513753327418,0.114759324195091,2.35320215042539,0.476878857202022,0.00705243967711123
"1555",148,1.45,394,4198,0.0542230144276101,0.106680893689299,2.31807907415301,0.466484327795329,0.00204096350309068
"1556",149,1.45,396,4033,0.0515662958700933,0.109186566088502,2.35834292289988,0.471211893870873,0.00694153256115703
"1557",150,1.45,398,4112,0.0520486563801375,0.105658198614319,2.34705011202106,0.467181958464243,0.00501714087653456
"1558",151,1.45,400,4037,0.0505889724310777,0.111875951018042,2.36786967418546,0.474909168291526,0.00820389751853433
"1559",152,1.45,402,4165,0.0516742968449523,0.113697014121932,2.35653403803923,0.479112202664988,0.00452802296643311
"1560",153,1.45,404,4330,0.0531901825418274,0.109356594823469,2.32728545807434,0.473142857955201,0.000412422884325661
"1561",154,1.45,406,4154,0.050526059721462,0.108596507310813,2.36462932554887,0.473229768301306,0.00576390355665627
"1562",155,1.45,408,4258,0.0512839042250807,0.10749012120943,2.35336272100978,0.472951586962631,0.00310848875551829
"1563",156,1.45,410,4268,0.0509034527998092,0.109089095523612,2.3570994096249,0.475201023566418,0.00337909976649667
"1564",157,1.45,412,4329,0.0511303238608178,0.106894714523372,2.34796730682919,0.472190538390347,0.00232590669794168
"1565",158,1.45,414,4338,0.050742183387725,0.104119153903523,2.34887882935046,0.468864303970099,0.00261374135585677
"1566",159,1.45,416,4552,0.0527340129749768,0.108173289889454,2.32248609823911,0.474660262594883,-0.00304490360595063
"1567",160,1.45,418,4462,0.0511973196562367,0.108809894999845,2.34791688180556,0.477419859280201,-0.00046909626020546
"1568",161,1.45,420,4476,0.0508694169792022,0.105548623928892,2.35248323673145,0.474794979164976,-0.000497579188820495
"1569",162,1.45,422,4532,0.0510182256194347,0.108984814255757,2.3483918902185,0.478939194267721,-0.00165582784556309
"1570",163,1.45,424,4556,0.0508051206565859,0.108354868226564,2.34568892457291,0.477628445383403,-0.00153191189878922
"1571",164,1.45,426,4690,0.051808892571113,0.107563920792456,2.32659486329743,0.476342145907636,-0.00457947934963183
"1572",165,1.45,428,4826,0.0528135875155946,0.11057941718395,2.31404714482698,0.480836276724284,-0.00869922712015297
"1573",166,1.45,430,4701,0.0509676370141486,0.104026974213571,2.33673768092373,0.473909474813628,-0.00384097481587383
"1574",167,1.45,432,4681,0.0502814299218012,0.106166732684746,2.34450459740483,0.476589799481037,-0.00295849964618911
"1575",168,1.45,434,4821,0.0513085216206724,0.105591488736173,2.32885984610636,0.476586736942375,-0.00637624232791571
